,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,매매희망가격,면적1,면적1,면적1,면적1,면적1,면적1,면적1,면적1,면적2,면적2,면적2,면적2,면적2,면적2,면적2,면적2,방수,방수,방수,방수,방수,방수,방수,방수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,욕실수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,중개보수,취득세,취득세,취득세,취득세,취득세,취득세,취득세,취득세
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
지역2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원구,1453.0,379383000.6882312,131773532.43327294,130000000.0,275000000.0,360000000.0,460000000.0,900000000.0,1453.0,104.014879559532,29.217211967270984,35.9,82.64,105.78,122.32,233.45,1453.0,80.80600825877495,25.976739062997094,26.99,59.39,84.6,84.99,154.27,1443.0,2.9805959805959805,0.7043832880926165,1.0,3.0,3.0,3.0,5.0,1443.0,1.586971586971587,0.49254854364497547,1.0,1.0,2.0,2.0,2.0,1453.0,1765712.319339298,1253658.3347200877,650000.0,1100000.0,1440000.0,1840000.0,8100000.0,1453.0,4882147.281486579,3224931.2569265785,1430000.0,3030000.0,3960000.0,5590000.0,21600000.0
도봉구,564.0,342640957.4468085,111854967.81871001,115000000.0,275000000.0,325000000.0,400000000.0,770000000.0,564.0,104.53171985815602,27.089458910627616,38.52,88.02,105.37,113.51,231.4,564.0,80.54125886524824,22.23411572257465,28.71,66.47,84.82,84.96,169.55,562.0,2.9590747330960854,0.5727917666589194,1.0,3.0,3.0,3.0,5.0,562.0,1.6512455516014235,0.4844169329295532,1.0,1.0,2.0,2.0,3.0,564.0,1503031.914893617,950976.4220448037,580000.0,1100000.0,1300000.0,1600000.0,6930000.0,564.0,4130336.879432624,2409573.429813695,1270000.0,3030000.0,3580000.0,4620000.0,18480000.0
동대문구,386.0,442036269.4300518,106873508.0974686,70000000.0,371250000.0,440000000.0,500000000.0,750000000.0,386.0,110.53010362694299,25.878550612571317,48.9,90.1825,108.75,132.95,234.71,386.0,86.22347150259066,22.16654919562454,35.45,69.1125,84.9,112.13,165.39,381.0,3.1863517060367452,0.5888638232164839,1.0,3.0,3.0,4.0,5.0,381.0,1.821522309711286,0.38341786007177553,1.0,2.0,2.0,2.0,2.0,386.0,2021761.658031088,1205136.4120368217,350000.0,1485000.0,1760000.0,2000000.0,6750000.0,386.0,5627046.632124352,2995816.6647391636,770000.0,4172500.0,4950000.0,5850000.0,18000000.0
동작구,744.0,583030913.9784946,148726176.2094247,235000000.0,480000000.0,580000000.0,680000000.0,1060000000.0,744.0,139.12685483870968,133.90812720649924,49.58,105.62,111.14,142.14,987.0,744.0,92.64705645161293,27.577404224472097,32.79,84.0,84.96,114.68,219.51,740.0,3.2594594594594595,0.6223007028723151,2.0,3.0,3.0,4.0,5.0,740.0,1.8513513513513513,0.36720914433266405,1.0,2.0,2.0,2.0,3.0,744.0,3951599.4623655914,2346950.484544604,940000.0,1920000.0,2320000.0,6120000.0,9540000.0,744.0,10306935.483870968,6245513.405831978,2590000.0,5317500.0,6490000.0,15600000.0,37100000.0
마포구,1266.0,646308143.7598736,216169888.69033897,200000000.0,500000000.0,620000000.0,730000000.0,1805000000.0,1266.0,112.80695102685624,30.651287877706324,42.97,84.14750000000001,109.09,133.43,270.15,1266.0,87.27809636650869,26.167933526913565,35.55,59.97,84.87,104.69,203.35,1242.0,3.1247987117552336,0.5828990591838111,1.0,3.0,3.0,3.0,5.0,1242.0,1.8494363929146538,0.3577670536616944,1.0,2.0,2.0,2.0,2.0,1266.0,4760608.214849921,2861218.6010066923,800000.0,2000000.0,5580000.0,6570000.0,16250000.0,1266.0,13168878.357030015,10201015.140032269,2200000.0,5500000.0,13640000.0,16320000.0,63180000.0
서대문구,484.0,444636363.6363636,138342719.62967247,110000000.0,365000000.0,430000000.0,500000000.0,1500000000.0,484.0,109.58227272727271,30.19443071445084,36.36,85.69,105.78,128.92,287.6,484.0,84.74710743801654,24.586260093893543,0.0,59.93,84.87,102.45,231.79,481.0,3.1517671517671517,0.5949807383454351,2.0,3.0,3.0,3.0,5.0,481.0,1.6735966735966736,0.4693849649512065,1.0,1.0,2.0,2.0,2.0,484.0,2108884.2975206613,1540808.98699719,550000.0,1460000.0,1720000.0,2000000.0,13500000.0,484.0,5966797.520661157,5017135.964269754,1210000.0,4070000.0,4730000.0,5950000.0,52500000.0
서초구,2951.0,1044357851.575737,495750246.83258516,50000000.0,717500000.0,930000000.0,1240000000.0,6000000000.0,2951.0,138.89108437817688,59.17372144975805,26.44,104.5,116.7,165.14,595.04,2951.0,108.40571670620129,45.53994804958652,0.0,84.34,84.99,133.235,395.77,2794.0,3.415175375805297,0.8754103051227017,1.0,3.0,3.0,4.0,6.0,2794.0,1.835361488904796,0.5278720174177826,1.0,2.0,2.0,2.0,4.0,2951.0,9182416.130125381,4744705.612235286,250000.0,6460000.0,8370000.0,11160000.0,54000000.0,2951.0,31498556.421552017,20840206.146304302,550000.0,16060000.0,31020000.0,42700000.0,210000000.0
성동구,491.0,608091649.694501,388923786.86749744,275000000.0,450000000.0,540000000.0,630000000.0,4700000000.0,491.0,113.99949083503056,31.767327605727395,59.5,95.65,109.09,127.69,331.45,491.0,88.37276985743381,25.45593846088722,40.86,72.345,84.87,104.56,241.93,491.0,3.1832993890020367,0.485510577008762,2.0,3.0,3.0,3.0,4.0,491.0,1.7963340122199594,0.5023077380633898,1.0,2.0,2.0,2.0,3.0,491.0,3930122.199592668,4126772.0232617115,1100000.0,1800000.0,2160000.0,5670000.0,42300000.0,491.0,11527922.606924644,15886756.394458096,3030000.0,4950000.0,6050000.0,14300000.0,164500000.0
성북구,893.0,434235162.37402016,104618293.03500266,95000000.0,370000000.0,430000000.0,490000000.0,1080000000.0,893.0,110.43131019036954,26.471168556776963,49.58,87.96,109.09,119.0,219.28,893.0,86.40702127659574,22.95274047640825,41.58,59.99,84.84,84.99,166.87,890.0,3.1876404494382022,0.5235339431098037,2.0,3.0,3.0,3.0,5.0,890.0,1.8235955056179776,0.39012630180924085,1.0,2.0,2.0,2.0,3.0,893.0,1954468.085106383,1137694.088473112,480000.0,1480000.0,1720000.0,1960000.0,9720000.0,893.0,5453426.651735722,3087798.081042361,1050000.0,4070000.0,4840000.0,5830000.0,37800000.0
송파구,2090.0,810582971.2918661,333013663.8888013,185000000.0,541250000.0,780000000.0,1000000000.0,2100000000.0,2090.0,122.5428947368421,40.26878876357969,33.05,102.47,111.52,148.94,294.21,2090.0,95.92780382775119,35.22612058650101,0.0,76.49,84.92,121.63,208.76,2076.0,3.2215799614643545,0.7566805178760738,1.0,3.0,3.0,4.0,6.0,2076.0,1.6878612716763006,0.4717228633226524,1.0,1.0,2.0,2.0,3.0,2090.0,6587684.2105263155,3800236.1413853616,800000.0,2165000.0,7020000.0,9000000.0,18900000.0,2090.0,21464468.89952153,15694116.084835375,2040000.0,6050000.0,17600000.0,34650000.0,73500000.0
양천구,1735.0,658033717.5792507,288233107.012032,130000000.0,465000000.0,600000000.0,800000000.0,1800000000.0,1735.0,111.43095100864552,33.37202812717753,56.19,89.25,107.49,125.62,275.44,1735.0,87.60694524495676,28.97622127986377,42.57,65.08,84.77,105.58,221.44,1715.0,3.0839650145772595,0.781162792248523,2.0,3.0,3.0,4.0,5.0,1715.0,1.5463556851311953,0.5014941054738448,1.0,1.0,2.0,2.0,3.0,1735.0,4829394.812680115,3429689.6151319263,650000.0,1860000.0,5400000.0,7200000.0,16200000.0,1735.0,14740103.746397695,13341740.875370782,1430000.0,5120000.0,6600000.0,18850000.0,63000000.0
영등포구,969.0,577389576.883385,241810852.3426273,150000000.0,416000000.0,500000000.0,700000000.0,2150000000.0,969.0,114.05051599587203,33.11057385760256,46.28,92.56,108.58,125.62,295.0,969.0,91.88213622291022,30.621582077410256,31.73,78.9,84.84,108.15,234.02,965.0,3.249740932642487,0.7462301070370365,1.0,3.0,3.0,4.0,7.0,965.0,1.6901554404145078,0.4824260920798517,1.0,1.0,2.0,2.0,4.0,969.0,3743230.1341589266,3024373.5075724144,750000.0,1660000.0,2000000.0,6300000.0,19350000.0,969.0,11105128.998968009,10937094.597392354,1650000.0,4580000.0,5500000.0,16280000.0,75250000.0
용산구,662.0,959394909.3655589,498047985.85582566,180000000.0,630000000.0,820000000.0,1100000000.0,3520000000.0,662.0,134.2594561933535,50.334009327828866,42.97,102.94,116.23,165.29,317.35,662.0,107.93067975830816,45.38600512727657,29.55,83.32,100.07,126.3,253.12,657.0,3.4292237442922375,0.7145684610538798,1.0,3.0,3.0,4.0,6.0,657.0,1.7686453576864536,0.4533649501235398,1.0,2.0,2.0,2.0,3.0,662.0,8192537.764350453,4966434.375209398,800000.0,5670000.0,7380000.0,9900000.0,31680000.0,662.0,27194093.655589122,21468720.23601205,1980000.0,13860000.0,18700000.0,38500000.0,123200000.0
은평구,396.0,448805555.5555556,150661730.48371908,190000000.0,350000000.0,423000000.0,528500000.0,1250000000.0,396.0,114.72929292929294,31.10080193528412,56.4,92.56,110.67,136.83,269.13,396.0,88.18260101010101,26.085622841718845,45.5,66.55250000000001,84.83,100.04499999999999,225.35,384.0,3.2161458333333335,0.5237440424664963,2.0,3.0,3.0,3.0,5.0,384.0,1.9010416666666667,0.3474622031150433,1.0,2.0,2.0,2.0,3.0,396.0,2386035.3535353537,1844377.3437365617,800000.0,1400000.0,1690000.0,2112500.0,11250000.0,396.0,6677601.01010101,5581667.556500487,2090000.0,3960000.0,4730000.0,6065000.0,43750000.0
종로구,219.0,831714611.8721461,307410600.2156779,180000000.0,630000000.0,830000000.0,1070000000.0,1900000000.0,219.0,144.88899543378997,37.639526363356076,39.66,112.94,142.89,177.45,276.05,219.0,117.44036529680366,34.092766873296675,29.32,92.865,114.93,146.92,243.09,218.0,3.477064220183486,0.6664622919867053,1.0,3.0,3.0,4.0,5.0,218.0,1.9174311926605505,0.30746294571162197,1.0,2.0,2.0,2.0,3.0,219.0,7075616.438356165,3372274.837105696,800000.0,5670000.0,7470000.0,9630000.0,17100000.0,219.0,23990410.95890411,14570198.04022085,1980000.0,14080000.0,19920000.0,37450000.0,66500000.0
중구,121.0,613793388.4297521,261145582.5574237,320000000.0,495000000.0,565000000.0,650000000.0,2500000000.0,121.0,120.62884297520661,39.25223433534458,49.58,105.36,106.63,142.14,297.52,121.0,93.460826446281,29.309990492059665,44.96,82.41,84.95,114.88,199.9,119.0,3.235294117647059,0.6600703911222583,1.0,3.0,3.0,4.0,5.0,119.0,1.7647058823529411,0.42597609451787066,1.0,2.0,2.0,2.0,2.0,121.0,4008595.041322314,3170912.6724507157,1280000.0,1980000.0,2260000.0,5850000.0,22500000.0,121.0,11423801.652892562,12069653.69954736,3520000.0,5460000.0,6380000.0,14960000.0,87500000.0
중랑구,271.0,394258302.5830258,129977682.11303999,150000000.0,315000000.0,380000000.0,450000000.0,936000000.0,271.0,111.45077490774909,30.210370474592146,39.66,99.39,107.05,123.22,217.19,271.0,86.30029520295201,23.776179362919468,33.18,78.94,84.69,93.035,170.02,270.0,3.088888888888889,0.5649840168370152,1.0,3.0,3.0,3.0,4.0,270.0,1.8111111111111111,0.44540890810031825,1.0,2.0,2.0,2.0,3.0,271.0,1833653.1365313653,1308977.6663839524,750000.0,1260000.0,1520000.0,1800000.0,8420000.0,271.0,5200405.90405904,3910991.37538494,1650000.0,3470000.0,4180000.0,5560000.0,32760000.0
